715, 396, 18, 2
715, 196, 18, 1
356, 596, 18, 2
715, 478, 18, 1
715, 468, 18, 1
176, 596, 18, 1
266, 596, 18, 2
715, 296, 18, 2
356, 796, 18, 2
715, 446, 18, 1
685, 596, 18, 1
715, 296, 18, 2
715, 296, 18, 2
2600, 90, 18, 2
90, 1000, 18, 1
90, 1000, 18, 1
90, 2050, 18, 1
176, 596, 18, 1
266, 596, 18, 2
336, 596, 18, 1
356, 596, 18, 1
715, 446, 18, 1
715, 396, 18, 1
715, 72, 18, 1
715, 235, 18, 1
715, 596, 18, 1
715, 296, 18, 2
715, 90, 18, 1
715, 72, 18, 1
715, 296, 18, 1
820, 580, 18, 1
878, 596, 18, 1
90, 2000, 18, 1
90, 2600, 18, 1
110, 596, 18, 1
176, 396, 18, 1
266, 396, 18, 2
356, 596, 18, 2
685, 596, 18, 1
715, 396, 18, 2
715, 396, 18, 2
715, 50, 18, 1
895, 50, 18, 1
895, 396, 18, 2
895, 396, 18, 2
895, 396, 18, 1
895, 296, 18, 2
715, 72, 18, 1
356, 72, 18, 1
356, 90, 18, 1
715, 235, 18, 1
715, 296, 18, 1
715, 396, 18, 1
715, 396, 18, 2
715, 446, 18, 1
356, 446, 18, 1
356, 496, 18, 1
715, 596, 18, 1
336, 596, 18, 1
356, 596, 18, 2
176, 596, 18, 1
266, 596, 18, 2
356, 596, 18, 2
356, 796, 18, 2
95, 900, 18, 1
95, 1050, 18, 1
95, 2100, 18, 1
